Player;Pos;Comp;Shots;PasTotPrgDist;Assists;SCA;Tkl+Int;ToAtt
liam cooper;DF;Premier League;0.73;274.1;0.0;0.98;4.23;0.24
copete;DF;La Liga;0.28;257.8;0.0;0.28;3.99;0.56
diego coppola;DF;Serie A;0.43;284.1;0.0;1.01;3.04;0.43
francis coquelin;MF;La Liga;0.76;100.1;0.0;1.14;3.29;0.76
sebastien corchia;DFMF;Ligue 1;0.34;216.2;0.17;2.24;3.1;1.03
angel correa;MFFW;La Liga;3.19;81.3;0.0;4.29;1.54;3.63
thierry correia;DF;La Liga;0.26;284.0;0.0;1.95;3.77;1.56
danny da costa;DF;Bundesliga;0.74;255.3;0.15;1.62;2.21;1.91
david pereira da costa;MFFW;Ligue 1;1.75;160.4;0.22;3.72;1.68;3.07
diego costa;FW;Premier League;2.92;14.3;0.0;1.53;0.56;0.42
jaume costa;DF;La Liga;0.49;198.4;0.06;2.07;2.07;1.1
nuno da costa;FWMF;Ligue 1;2.11;61.3;0.08;2.34;3.2;5.0
samu costa;MF;La Liga;0.71;249.5;0.0;2.05;5.04;0.71
vladimir coufal;DF;Premier League;0.35;279.2;0.0;2.31;3.99;0.56
lassana coulibaly;MF;Serie A;0.46;127.8;0.11;1.94;3.54;2.69
mathieu coutadeur;MF;Ligue 1;0.18;238.1;0.0;1.56;2.02;0.64
philippe coutinho;MFFW;Premier League;2.41;110.5;0.0;2.91;2.03;3.8
yan couto;DFMF;La Liga;0.66;178.0;0.13;3.95;3.03;5.0
nicolas cozza;DF;Ligue 1;0.49;223.2;0.07;1.27;4.15;1.06
aaron cresswell;DF;Premier League;0.41;377.8;0.0;3.12;2.0;0.35
bryan cristante;MF;Serie A;0.88;243.9;0.0;1.37;3.97;0.34
juan cruz armada;DF;La Liga;0.07;258.3;0.0;1.79;1.86;0.79
juan cuadrado;DFFW;Serie A;1.53;225.8;0.25;3.73;3.64;1.95
marc cucurella;DF;Premier League;0.4;272.9;0.13;1.54;4.03;0.87
matheus cunha;FW;Premier League;2.57;36.86;0.29;2.57;1.29;2.43
moanes dabbur;FW;Bundesliga;2.33;86.3;0.0;4.17;1.67;2.17
colin dagba;DF;Ligue 1;0.32;217.1;0.0;2.9;4.19;2.9
patson daka;FW;Premier League;2.44;35.3;0.38;2.18;1.41;1.15
thijs dallinga;FW;Ligue 1;2.01;28.7;0.07;1.87;0.6;1.04
diogo dalot;DF;Premier League;0.99;262.9;0.14;2.48;3.83;1.63
flavius daniliuc;DF;Serie A;0.4;320.93;0.08;0.88;3.19;0.24
danilo;DF;Serie A;0.75;362.9;0.1;1.54;3.73;0.7
kevin danso;DF;Ligue 1;0.59;398.7;0.05;1.27;2.14;1.0
dante;DF;Ligue 1;0.5;462.5;0.05;0.59;3.09;0.23
sergi darder;MF;La Liga;1.02;247.3;0.05;4.31;2.64;3.5
achraf dari;DF;Ligue 1;0.4;309.2;0.0;0.5;2.5;0.0
matteo darmian;DF;Serie A;0.27;241.1;0.18;2.55;3.64;1.45
josh dasilva;MF;Premier League;1.17;126.8;0.18;2.88;1.53;3.06
jonathan david;FW;Ligue 1;3.13;64.2;0.21;3.13;0.97;2.21
alphonso davies;DF;Bundesliga;0.52;277.9;0.13;3.55;2.9;5.61
ben davies;DF;Premier League;0.63;277.8;0.06;1.44;1.75;0.56
pawe? dawidowicz;DF;Serie A;0.84;218.7;0.0;0.6;3.61;0.48
craig dawson;DF;Premier League;0.8;287.34;0.0;1.5;1.8;0.1
kevin de bruyne;MF;Premier League;2.64;242.5;0.62;6.52;1.29;1.85
charles de ketelaere;MFFW;Serie A;1.54;110.0;0.13;4.1;1.79;3.85
rodrigo de paul;MF;La Liga;0.82;289.1;0.21;4.02;1.55;1.44
mattia de sciglio;DF;Serie A;0.6;297.9;0.0;1.64;1.64;0.75
lorenzo de silvestri;DF;Serie A;0.69;251.9;0.0;1.38;0.69;0.52
thibault de smet;DF;Ligue 1;0.0;254.1;0.13;1.03;3.46;0.26
koni de winter;DF;Serie A;0.0;264.8;0.0;0.45;2.02;0.22
brecht dejaegere;MF;Ligue 1;1.28;106.4;0.08;2.03;2.56;1.8
romain del castillo;FWMF;Ligue 1;2.5;189.9;0.44;4.26;3.38;4.41
thomas delaine;DF;Ligue 1;0.38;182.4;0.13;1.77;2.53;2.15
andy delort;FW;Ligue 1;2.66;67.42;0.11;2.44;0.57;1.69
moussa dembele;FWMF;Ligue 1;2.94;28.5;0.0;1.47;0.88;1.18
ousmane dembele;FW;La Liga;3.2;125.2;0.41;5.0;1.39;5.9
merih demiral;DF;Serie A;0.37;162.0;0.0;0.22;3.82;0.29
kerem demirbay;MF;Bundesliga;1.7;272.2;0.3;2.7;3.1;1.5
ermedin demirovi?;FWMF;Bundesliga;2.63;51.3;0.12;2.46;2.16;1.86
branco van den boomen;MF;Ligue 1;1.78;395.7;0.33;4.95;2.2;0.98
leander dendoncker;MF;Premier League;0.64;108.84;0.0;1.77;4.84;0.97
fabio depaoli;DF;Serie A;0.96;249.99;0.13;2.41;2.69;2.48
mikkel desler;DF;Ligue 1;0.52;273.7;0.07;2.01;4.55;1.79
cyriel dessers;FW;Serie A;2.76;23.7;0.0;2.16;0.75;1.87
gerard deulofeu;FW;Serie A;3.26;172.7;0.44;6.15;0.74;3.26
kiernan dewsbury-hall;MF;Premier League;0.88;146.1;0.12;3.27;2.75;2.51
federico di francesco;FWMF;Serie A;1.84;72.6;0.16;2.48;1.68;1.92
giovanni di lorenzo;DF;Serie A;0.77;384.1;0.14;3.44;2.49;1.05
angel di maria;FW;Serie A;2.5;221.8;0.29;5.74;1.32;3.97
boulaye dia;FW;Serie A;1.53;49.1;0.25;2.45;0.74;2.88
moussa diaby;FW;Bundesliga;2.23;89.2;0.16;3.53;0.82;3.04
mouctar diakhaby;DF;La Liga;0.55;312.5;0.0;0.55;2.03;0.16
bafode diakite;DF;Ligue 1;0.57;280.1;0.0;1.44;2.37;0.88
habib diallo;FW;Ligue 1;2.22;35.4;0.0;1.4;1.29;2.34
ibrahima diallo;MF;Premier League;0.76;97.1;0.0;0.63;2.91;1.39
ismael diallo;DF;Ligue 1;0.12;261.2;0.0;0.71;2.65;1.29
mouhamadou diarra;MF;Ligue 1;0.99;112.0;0.0;2.09;2.64;2.64
moussa diarra;DF;Ligue 1;0.09;240.3;0.09;1.27;3.18;1.45
stephane diarra;FW;Ligue 1;1.76;84.0;0.0;2.53;4.18;6.48
ruben dias;DF;Premier League;0.52;559.8;0.0;0.62;1.86;0.31
krepin diatta;MFFW;Ligue 1;2.08;110.4;0.13;3.15;1.88;2.48
brahim diaz;MF;Serie A;1.83;128.8;0.26;4.26;1.91;2.87
luis diaz;FW;Premier League;2.35;87.8;0.29;2.94;1.76;4.26
eric dier;DF;Premier League;0.66;431.5;0.0;0.99;2.16;0.0
lucas digne;DF;Premier League;0.49;259.8;0.0;1.63;2.85;0.98
federico dimarco;DF;Serie A;1.9;267.5;0.06;4.05;2.09;0.8
junior dina ebimbe;DFMF;Bundesliga;1.84;139.5;0.11;1.72;3.56;3.68
sinaly diomande;DF;Ligue 1;0.51;405.9;0.0;0.71;4.85;0.4
issa diop;DF;Premier League;0.24;357.6;0.0;0.39;2.83;0.24
sofiane diop;MFFW;Ligue 1;1.89;148.45;0.37;4.17;2.17;3.5
axel disasi;DF;Ligue 1;0.64;341.4;0.14;0.77;2.82;0.36
tiago djalo;DF;Ligue 1;0.62;395.9;0.0;0.36;2.75;0.57
djene;DF;La Liga;0.18;225.1;0.0;0.53;2.75;0.76
moussa djenepo;DFFW;Premier League;0.47;108.8;0.16;2.03;4.38;4.69
koffi djidji;DF;Serie A;0.47;224.8;0.0;0.59;3.25;0.06
alexander djiku;DF;Ligue 1;0.55;393.4;0.1;0.6;4.0;0.2
berat djimsiti;DF;Serie A;0.29;258.3;0.0;0.29;4.06;0.29
ritsu doan;FWMF;Bundesliga;2.18;70.8;0.18;2.67;3.15;4.79
dodo;DF;Serie A;0.3;241.4;0.08;2.27;2.2;0.98
danilho doekhi;DF;Bundesliga;0.46;184.6;0.09;0.55;3.21;0.28
matt doherty;DFMF;Premier League;1.35;165.1;0.0;2.43;3.24;1.62
josh doig;DF;Serie A;1.44;192.4;0.29;2.6;2.31;3.37
nicolas dominguez;MF;Serie A;1.42;175.5;0.14;2.84;4.05;1.15
gabriel dos santos;DF;Premier League;0.9;355.2;0.0;0.67;2.29;0.05
cheick doucoure;MF;Premier League;1.26;186.0;0.11;2.08;5.08;0.71
desire doue;MFFW;Ligue 1;1.67;79.6;0.13;2.31;4.36;5.38
ismael doukoure;DF;Ligue 1;0.35;234.5;0.0;0.44;2.57;1.06
kamory doumbia;MF;Ligue 1;1.92;151.4;0.2;3.23;3.33;2.53
souleyman doumbia;DFFW;Ligue 1;0.24;197.3;0.0;1.46;3.35;3.29
dominick drexler;MFFW;Bundesliga;1.08;93.5;0.32;3.01;1.94;1.4
domingos duarte;DF;La Liga;0.59;220.6;0.11;0.32;2.27;0.27
marvin ducksch;FW;Bundesliga;2.7;80.5;0.27;3.84;0.65;1.03
ondrej duda;MF;Serie A;1.43;110.5;0.0;2.75;2.08;2.21
denzel dumfries;DF;Serie A;1.5;149.5;0.15;3.38;1.65;1.65
alfred duncan;MF;Serie A;0.33;228.5;0.0;2.83;2.5;1.83
lewis dunk;DF;Premier League;0.48;527.4;0.0;0.57;1.62;0.05
hugo duro;FWMF;La Liga;2.67;15.2;0.0;1.67;1.0;0.5
jean-kevin duverne;DF;Ligue 1;0.13;282.6;0.0;1.62;3.83;1.88
paulo dybala;MFFW;Serie A;2.82;150.4;0.46;5.11;1.15;2.82
edin d?eko;FW;Serie A;3.61;74.2;0.21;3.26;0.21;1.11
enzo ebosse;DF;Serie A;0.3;310.1;0.0;0.79;2.38;0.69
tyronne ebuehi;DF;Serie A;1.1;203.2;0.11;1.32;1.54;0.88
ederson;MFFW;Serie A;1.75;153.4;0.0;2.25;4.58;2.08
odsonne edouard;FWMF;Premier League;2.07;36.0;0.17;2.48;1.98;2.15
samuel edozie;FWMF;Premier League;1.33;56.2;0.0;3.0;3.5;5.83
maximilian eggestein;MF;Bundesliga;0.39;113.6;0.13;1.94;3.1;0.52
inigo eguaras;MF;La Liga;0.71;296.0;0.14;2.14;2.14;0.43
kingsley ehizibue;DF;Serie A;0.78;205.45;0.0;1.98;2.76;1.84
chidera ejuke;FWMF;Bundesliga;2.39;77.6;0.34;3.86;0.68;8.41
albin ekdal;MF;Serie A;0.92;150.5;0.15;2.77;2.77;0.62
hugo ekitike;FW;Ligue 1;2.2;32.6;0.37;1.83;1.46;2.44
harvey elliott;MFFW;Premier League;1.67;158.6;0.08;3.89;1.51;2.7
elif elmas;FWMF;Serie A;1.74;118.0;0.11;2.83;2.17;2.93
aritz elustondo;DF;La Liga;0.53;256.8;0.09;0.79;3.42;0.26
nico elvedi;DF;Bundesliga;0.61;355.6;0.0;0.79;2.73;0.06
rodrigo ely;DF;La Liga;0.63;299.6;0.0;0.58;1.73;0.16
sepe elye wahi;FW;Ligue 1;1.93;22.9;0.06;1.4;0.58;2.4
mohamed elyounoussi;MFFW;Premier League;1.79;76.0;0.06;1.86;2.63;1.35
adri embarba;FWMF;La Liga;2.64;114.9;0.33;3.96;4.4;6.92
breel embolo;FW;Ligue 1;1.99;51.3;0.12;3.16;1.05;3.45
emerson;DF;Premier League;0.9;196.9;0.08;2.11;3.46;1.5
youssef en-nesyri;FW;La Liga;3.17;14.9;0.0;1.59;1.46;1.1
wataru endo;MF;Bundesliga;1.51;182.5;0.05;2.27;3.14;1.62
christian eriksen;MF;Premier League;1.39;241.6;0.42;2.97;1.21;0.48
martin erlic;DF;Serie A;0.07;284.8;0.0;0.51;2.21;0.07
gonzalo escalante;MF;Serie A;1.3;209.19;0.12;2.0;4.23;0.94
sergio escudero;DF;La Liga;1.41;205.8;0.0;2.0;3.76;0.94
alfonso espino;DF;La Liga;0.56;206.1;0.15;1.52;3.76;1.42
bernardo espinosa;DF;La Liga;0.64;381.7;0.11;0.64;0.96;0.32
maxime esteve;DF;Ligue 1;0.27;221.1;0.0;0.47;3.58;0.41
pervis estupinan;DF;Premier League;0.57;256.9;0.21;2.79;3.71;1.21
jonny evans;DF;Premier League;0.11;509.3;0.0;0.44;2.89;0.0
edu exposito;MF;La Liga;1.26;128.3;0.19;2.43;3.4;1.36
eberechi eze;MFFW;Premier League;2.27;136.9;0.17;3.43;1.8;3.72
abdessamad ezzalzouli;FWMF;La Liga;2.15;80.6;0.31;3.08;2.62;5.69
fabinho;MF;Premier League;0.58;222.5;0.0;2.09;3.74;0.22
noah fadiga;DF;Ligue 1;0.92;201.9;0.0;1.33;3.37;2.86
wout faes;DF;Premier League;0.21;366.03;0.0;0.58;3.32;0.37
nicolo fagioli;MF;Serie A;0.95;122.7;0.32;2.86;2.54;0.95
fali;DFMF;La Liga;0.39;214.1;0.0;0.69;1.76;0.29
ansu fati;FW;La Liga;4.3;51.5;0.35;3.14;1.51;3.14
federico fazio;DF;Serie A;0.93;269.8;0.0;1.02;3.64;0.68
nabil fekir;MF;La Liga;2.18;129.5;0.23;5.4;1.03;4.02
luiz felipe;DF;La Liga;0.23;289.0;0.0;0.35;2.79;0.47
joao felix;MFFW;Premier League;3.98;104.43;0.34;4.09;1.82;3.64
ohis felix uduokhai;DF;Bundesliga;0.2;214.1;0.1;0.71;3.67;0.71
kiko femenia;DF;La Liga;0.0;230.8;0.0;1.72;2.22;1.01
lewis ferguson;MF;Serie A;1.7;88.5;0.0;2.32;2.95;0.98
bruno fernandes;MFFW;Premier League;2.05;206.9;0.19;4.95;3.14;1.48
edimilson fernandes;DF;Bundesliga;0.64;256.7;0.14;1.49;3.83;1.06
alex fernandez;MFFW;La Liga;0.88;166.6;0.0;1.91;1.4;0.37
joaquin fernandez;DF;La Liga;0.55;300.9;0.0;0.82;2.4;0.0
fernando;MFDF;La Liga;0.28;226.2;0.0;1.2;3.7;0.19
alex ferrari;DF;Serie A;0.36;250.25;0.0;0.59;4.1;0.66
jordan ferri;MF;Ligue 1;0.36;336.3;0.12;1.9;2.44;1.49
roberto firmino;FWMF;Premier League;3.2;143.9;0.29;3.69;1.84;1.46
florian flick;MF;Bundesliga;0.35;115.1;0.0;1.23;2.81;0.35
alexis flips;DFMF;Ligue 1;2.59;236.5;0.27;4.2;4.02;1.79
phil foden;FWDF;Premier League;2.41;117.2;0.34;4.74;1.29;2.5
seko fofana;MF;Ligue 1;2.16;157.7;0.15;2.78;1.44;2.73
youssouf fofana;MF;Ligue 1;1.03;212.5;0.05;2.16;3.82;2.99
thomas foket;DF;Ligue 1;0.14;214.8;0.0;2.32;3.33;0.87
jose fonte;DF;Ligue 1;0.62;396.7;0.0;0.56;2.03;0.0
pablo fornals;FWMF;Premier League;1.59;167.6;0.0;3.46;2.43;1.5
emil forsberg;MFFW;Bundesliga;0.83;100.1;0.24;2.02;1.31;1.67
philipp forster;MF;Bundesliga;1.25;143.6;0.52;2.5;2.5;1.04
dimitri foulquier;DFMF;La Liga;0.27;177.7;0.14;1.35;3.11;1.35
juan foyth;DF;La Liga;0.43;332.3;0.0;1.29;4.57;2.86
przemys?aw frankowski;DFMF;Ligue 1;1.09;288.5;0.11;4.34;4.29;0.86
davide frattesi;MF;Serie A;1.98;119.0;0.0;3.18;2.5;2.5
fred;MF;Premier League;2.47;184.1;0.0;3.65;4.24;1.18
ivan fresneda;DF;La Liga;0.12;208.4;0.0;2.0;4.94;2.0
remo freuler;MF;Premier League;0.37;149.7;0.0;1.23;3.58;0.56
marco friedl;DF;Bundesliga;0.18;401.5;0.0;1.01;4.23;0.48
marvin friedrich;DF;Bundesliga;0.65;354.7;0.0;0.65;2.24;0.09
jeremie frimpong;DFMF;Bundesliga;1.23;144.7;0.22;3.18;2.68;5.36
chris fuhrich;FWMF;Bundesliga;2.37;93.1;0.0;3.36;2.52;4.05
angelo fulgini;MF;Ligue 1;1.33;122.42;0.16;2.99;2.01;4.16
niclas fullkrug;FW;Bundesliga;3.03;76.4;0.16;2.49;0.38;1.78
matteo gabbia;DF;Serie A;0.15;298.2;0.0;0.6;3.28;0.0
manolo gabbiadini;FWMF;Serie A;3.47;59.3;0.08;2.2;0.76;0.76
javi galan;DF;La Liga;0.37;218.5;0.05;2.3;3.93;4.55
inigo ruiz de galarreta;MF;La Liga;0.48;179.4;0.0;1.79;3.31;1.1
conor gallagher;MFFW;Premier League;1.4;155.7;0.11;2.9;4.3;2.69
antonino gallo;DF;Serie A;0.2;267.2;0.07;2.23;2.77;0.81
cristian gamboa;DF;Bundesliga;0.5;240.4;0.0;1.84;3.62;0.64
kevin gameiro;FW;Ligue 1;1.94;59.2;0.0;2.58;1.42;2.0
idrissa gana gueye;MF;Premier League;0.07;171.2;0.07;1.62;4.78;0.96
ignatius ganago;FWMF;Ligue 1;1.72;39.31;0.31;1.83;0.4;1.22
aleix garcia;MF;La Liga;1.23;305.7;0.2;5.17;2.56;0.89
alvaro garcia;FWMF;La Liga;1.45;91.3;0.12;3.15;2.73;1.64
dani garcia;MF;La Liga;0.3;200.2;0.15;1.21;3.18;0.15
david garcia;DF;La Liga;0.46;299.6;0.0;0.69;2.91;0.06
eric garcia;DF;La Liga;0.36;486.5;0.0;0.12;3.61;0.24
francisco garcia;DF;La Liga;0.9;229.0;0.1;1.96;3.22;1.71
raul garcia;FWMF;La Liga;4.92;59.4;0.32;4.13;1.9;1.43
ruben garcia;MFFW;La Liga;1.88;155.1;0.29;5.07;2.46;1.45
unai garcia;DF;La Liga;0.28;248.7;0.07;0.28;2.2;0.35
johan gastien;MF;Ligue 1;0.69;403.1;0.11;2.53;3.56;0.69
federico gatti;DF;Serie A;1.0;350.3;0.0;1.5;2.33;0.0
gavi;MFFW;La Liga;0.92;105.2;0.14;3.26;2.62;1.63
dennis geiger;MF;Bundesliga;0.31;228.1;0.15;3.05;2.67;0.53
valentin gendrey;DF;Serie A;0.3;249.7;0.0;1.19;4.31;0.94
yannick gerhardt;MF;Bundesliga;1.57;124.5;0.09;2.31;1.85;0.74
valere germain;FWMF;Ligue 1;2.62;49.5;0.0;1.85;1.23;0.15
morgan gibbs-white;FWMF;Premier League;2.07;129.3;0.21;3.88;1.4;2.8
niko gießelmann;DF;Bundesliga;1.62;245.0;0.19;3.81;2.0;1.05
samuel gigot;DF;Ligue 1;0.57;268.1;0.14;0.99;4.54;0.57
oscar gil;DF;La Liga;0.43;131.3;0.07;1.06;3.62;1.35
matthias ginter;DF;Bundesliga;0.5;367.3;0.05;0.85;2.5;0.15
andrei girotto;DFMF;Ligue 1;0.77;283.4;0.05;0.96;5.91;0.29
olivier giroud;FW;Serie A;3.6;37.6;0.27;2.2;0.53;0.53
serge gnabry;FWMF;Bundesliga;3.98;139.3;0.33;4.63;1.79;3.25
degnand gnonto;FWMF;Premier League;1.63;74.6;0.13;4.0;1.88;5.0
aleksandr golovin;MFFW;Ligue 1;2.06;149.9;0.34;4.91;3.66;2.11
andre gomes;MF;Ligue 1;1.18;326.6;0.0;2.71;3.18;2.0
angel gomes;MF;Ligue 1;1.51;216.3;0.16;3.12;1.94;1.83
joe gomez;DF;Premier League;0.24;461.2;0.0;1.22;3.41;0.41
moi gomez;MFFW;La Liga;0.6;219.7;0.11;3.9;1.21;1.26
papu gomez;MFFW;La Liga;2.16;244.5;0.14;4.19;1.22;2.03
sergi gomez;DF;La Liga;0.16;281.4;0.0;0.32;2.24;0.0
maxime gonalons;MF;Ligue 1;0.49;274.8;0.0;0.49;3.93;1.8
diego gonzalez;DF;La Liga;0.62;269.8;0.0;0.0;1.85;0.25
edgar gonzalez;DF;La Liga;0.39;274.4;0.0;0.47;2.44;0.16
giovanni gonzalez;DF;La Liga;0.69;168.6;0.34;1.38;2.59;2.24
joan gonzalez;MF;Serie A;0.79;99.0;0.17;1.74;2.64;2.13
nicolas gonzalez;MF;La Liga;1.36;251.7;0.0;1.82;2.73;2.58
oumar gonzalez;DF;Ligue 1;0.4;177.3;0.0;0.11;3.54;0.63
anthony gordon;MFFW;Premier League;2.21;54.33;0.0;2.06;2.98;3.59
leon goretzka;MF;Bundesliga;2.48;191.0;0.09;2.92;3.36;1.24
andoni gorosabel;DF;La Liga;0.73;269.8;0.0;1.59;3.17;0.85
mario gotze;MF;Bundesliga;0.96;156.7;0.06;3.26;1.97;2.3
amine gouiri;FWMF;Ligue 1;2.73;42.54;0.06;3.58;1.25;2.33
jeffrey gouweleeuw;DF;Bundesliga;0.55;282.6;0.0;1.2;3.33;0.49
jonathan gradit;DF;Ligue 1;0.19;420.4;0.13;1.46;2.87;1.02
andrew gravillon;DF;Serie A;0.69;217.25;0.0;0.77;3.19;1.03
demarai gray;FWMF;Premier League;1.93;88.7;0.05;3.48;1.39;3.05
jack grealish;FW;Premier League;1.64;104.3;0.26;4.57;1.55;4.57
michael gregoritsch;FW;Bundesliga;3.04;49.3;0.19;3.42;1.06;1.61
clement grenier;MF;La Liga;0.45;150.5;0.0;1.97;3.48;1.06
antoine griezmann;FWMF;La Liga;3.55;171.3;0.43;5.18;2.41;3.05
vincenzo grifo;FWMF;Bundesliga;2.17;201.5;0.21;5.45;1.05;2.38
christian groß;MF;Bundesliga;0.23;137.4;0.0;1.35;3.98;1.13
pascal groß;MFDF;Premier League;1.04;223.5;0.15;3.71;2.23;0.79
ilia gruev;MF;Bundesliga;0.19;181.1;0.0;1.5;3.83;0.47
carlos gruezo;MF;Bundesliga;0.19;123.3;0.0;1.12;2.9;0.65
andres guardado;MFFW;La Liga;0.39;254.7;0.0;2.08;3.77;0.39
sergi guardiola;FW;La Liga;2.52;30.5;0.0;1.78;2.24;1.49
nemanja gudelj;DFMF;La Liga;1.29;278.2;0.0;0.73;2.02;0.06
goncalo guedes;FWMF;Premier League;2.41;66.6;0.13;3.42;1.14;1.9
marc guehi;DF;Premier League;0.33;378.9;0.0;0.71;2.71;0.33
matteo guendouzi;MF;Ligue 1;1.3;221.4;0.19;2.53;2.47;1.48
raphael guerreiro;DF;Bundesliga;0.97;313.8;0.39;3.38;2.86;1.56
evann guessand;FWMF;Ligue 1;1.43;70.1;0.19;2.29;1.81;5.62
pape gueye;MF;La Liga;1.62;215.22;0.27;1.62;4.87;1.21
josuha guilavogui;MFDF;Bundesliga;0.52;206.4;0.0;1.55;2.76;0.34
hugo guillamon;MF;La Liga;0.16;242.9;0.31;3.39;1.97;0.24
bruno guimaraes;MF;Premier League;0.9;216.9;0.19;2.97;3.81;3.03
sehrou guirassy;FW;Ligue 1;2.68;38.44;0.0;2.41;0.19;1.36
gerard gumbau;MF;La Liga;1.0;202.9;0.21;3.0;2.57;0.64
robert gumny;DF;Bundesliga;0.35;180.7;0.07;1.33;2.94;0.63
ylkay gundoðan;MF;Premier League;2.23;180.3;0.14;4.1;2.37;1.65
christian gunter;DFMF;Bundesliga;1.07;192.4;0.1;3.21;1.63;0.36
koray gunter;DF;Serie A;0.81;285.8;0.0;1.17;3.6;0.36
gorka guruzeta;FWMF;La Liga;3.97;47.4;0.0;2.24;2.07;0.52
malo gusto;DF;Ligue 1;0.38;350.0;0.06;2.88;3.63;3.0
raul guti;MF;La Liga;0.94;97.2;0.0;1.06;2.47;0.94
miguel gutierrez;DF;La Liga;0.65;177.2;0.12;2.29;2.0;2.47
joko gvardiol;DF;Bundesliga;0.44;560.7;0.0;1.19;2.22;0.67
emmanuel gyasi;FWDF;Serie A;1.29;47.2;0.0;1.35;0.82;1.29
norbert gyomber;DF;Serie A;0.22;266.7;0.0;0.79;3.48;0.11
erling haaland;FW;Premier League;3.85;28.8;0.16;2.03;0.22;0.77
nicolas haas;MF;Serie A;0.65;104.8;0.0;1.72;2.9;0.54
janik haberer;MF;Bundesliga;1.58;74.7;0.07;2.52;1.65;1.08
alexander hack;DF;Bundesliga;0.25;387.3;0.0;0.91;4.3;0.08
amadou haidara;MF;Bundesliga;1.45;232.3;0.14;2.03;2.75;0.29
